KP,mean,std,target,Attack,Dataset
15,151.61002604166666,77.14391856686,1,deepfool,cifar100
3,146.80208333333334,67.38999784629125,1,deepfool,cifar100
10,134.30924479166666,84.08871378614543,1,deepfool,cifar100
9,134.34798177083334,72.36200588775664,1,deepfool,cifar100
4,131.05110677083334,73.61156754805025,1,deepfool,cifar100
10,180.56477864583334,87.93016263917362,1,deepfool,cifar100
13,129.296875,73.26113513609694,1,deepfool,cifar100
6,91.80110677083333,62.41752553726292,1,deepfool,cifar100
6,133.13313802083334,71.51288914690231,1,deepfool,cifar100
16,136.36360677083334,50.64695264053578,1,deepfool,cifar100
13,118.03483072916667,84.32055931850874,1,deepfool,cifar100
19,130.806640625,93.58031820785546,1,deepfool,cifar100
11,114.431640625,83.02478304920635,1,deepfool,cifar100
6,125.79036458333333,62.451877030246074,1,deepfool,cifar100
6,121.49186197916667,70.54672953514806,1,deepfool,cifar100
9,138.15299479166666,61.735511917456506,1,deepfool,cifar100
10,159.5458984375,87.65814775929955,1,deepfool,cifar100
9,141.9228515625,64.61060086094321,1,deepfool,cifar100
11,150.65690104166666,97.75729979942871,1,deepfool,cifar100
17,165.6591796875,72.0084181406632,1,deepfool,cifar100
9,161.71061197916666,78.82332754976443,1,deepfool,cifar100
9,106.6787109375,77.74731334415387,1,deepfool,cifar100
10,161.22037760416666,68.72393723204515,1,deepfool,cifar100
16,136.67740885416666,64.45707913230643,1,deepfool,cifar100
6,140.30110677083334,67.36108449753985,1,deepfool,cifar100
2,134.21744791666666,75.93632369217103,1,deepfool,cifar100
11,141.37662760416666,71.76672512533717,1,deepfool,cifar100
10,115.18098958333333,62.628606545721915,1,deepfool,cifar100
3,94.06217447916667,68.34010504759719,1,deepfool,cifar100
17,123.25,69.68442144855645,1,deepfool,cifar100
6,137.48470052083334,62.46132120950472,1,deepfool,cifar100
9,102.94303385416667,79.37582341727999,1,deepfool,cifar100
11,117.77213541666667,63.64297946854291,1,deepfool,cifar100
3,128.26790364583334,78.0196526064503,1,deepfool,cifar100
15,130.85970052083334,59.63572569853051,1,deepfool,cifar100
13,129.6748046875,66.26201880673891,1,deepfool,cifar100
5,135.4423828125,83.5060241282059,1,deepfool,cifar100
2,102.9482421875,58.856322299306925,1,deepfool,cifar100
12,150.16634114583334,75.75416101496417,1,deepfool,cifar100
9,125.97102864583333,68.22235422285048,1,deepfool,cifar100
9,122.29134114583333,69.18508351216563,1,deepfool,cifar100
11,132.38248697916666,75.05160717419075,1,deepfool,cifar100
10,132.0712890625,64.23204555129895,1,deepfool,cifar100
16,144.2431640625,75.78280776068334,1,deepfool,cifar100
7,105.69498697916667,66.70215349998303,1,deepfool,cifar100
6,158.74055989583334,75.09929749862266,1,deepfool,cifar100
9,105.81640625,65.8370920195365,1,deepfool,cifar100
15,126.45963541666667,60.64970363128746,1,deepfool,cifar100
19,99.67643229166667,65.68337154650906,1,deepfool,cifar100
