KP,mean,std,target,Attack,Dataset
6,132.2060546875,70.7086722861063,1,bim,cifar10
7,143.53092447916666,76.91957037516421,1,bim,cifar10
9,128.1923828125,72.63944026362162,1,bim,cifar10
10,133.2333984375,57.292097779710986,1,bim,cifar10
12,131.2724609375,75.84302841871232,1,bim,cifar10
11,125.85611979166667,66.54132743993178,1,bim,cifar10
9,107.744140625,73.83555659498548,1,bim,cifar10
8,136.72330729166666,62.51249654544211,1,bim,cifar10
9,118.3779296875,70.82807234128184,1,bim,cifar10
9,136.02799479166666,69.55386012501027,1,bim,cifar10
11,117.59765625,74.33693282673984,1,bim,cifar10
5,116.21907552083333,73.74171726339898,1,bim,cifar10
5,111.50618489583333,76.27165437614379,1,bim,cifar10
7,129.34016927083334,75.79946012503461,1,bim,cifar10
8,125.90299479166667,75.43526443730399,1,bim,cifar10
3,140.4140625,67.93021714163945,1,bim,cifar10
7,134.53483072916666,80.13915912262796,1,bim,cifar10
3,125.1171875,67.24103662218543,1,bim,cifar10
9,124.53385416666667,75.81926701602282,1,bim,cifar10
5,140.77994791666666,53.71003154332357,1,bim,cifar10
10,114.04264322916667,69.43013400872859,1,bim,cifar10
2,124.17610677083333,74.49023180301913,1,bim,cifar10
14,139.59830729166666,64.06828004546738,1,bim,cifar10
11,132.1982421875,75.53075781768881,1,bim,cifar10
6,130.89453125,72.09393839738244,1,bim,cifar10
5,118.71875,70.429558709533,1,bim,cifar10
13,108.74479166666667,61.03955140169065,1,bim,cifar10
10,126.28743489583333,78.276716931439,1,bim,cifar10
1,147.05794270833334,82.85466223708146,1,bim,cifar10
12,133.57194010416666,66.98825199905322,1,bim,cifar10
9,118.91276041666667,60.28970386497188,1,bim,cifar10
3,132.34798177083334,79.94693166951244,1,bim,cifar10
6,133.90950520833334,74.64233718036498,1,bim,cifar10
6,136.10611979166666,64.92661939454268,1,bim,cifar10
6,130.763671875,69.62239933128704,1,bim,cifar10
11,98.99934895833333,65.52214574967387,1,bim,cifar10
10,106.35904947916667,75.286380279293,1,bim,cifar10
7,143.912109375,63.87049140802133,1,bim,cifar10
1,123.55143229166667,72.78953805382946,1,bim,cifar10
4,130.55305989583334,69.12450673994174,1,bim,cifar10
11,114.3916015625,69.77378425997368,1,bim,cifar10
9,130.41341145833334,72.98044091197231,1,bim,cifar10
5,129.5537109375,76.96279111941985,1,bim,cifar10
3,139.72428385416666,69.95671436846023,1,bim,cifar10
8,122.4208984375,69.11933659209107,1,bim,cifar10
7,131.9130859375,78.22422386890779,1,bim,cifar10
8,125.02473958333333,70.60541513145624,1,bim,cifar10
6,130.57161458333334,74.82389609566519,1,bim,cifar10
7,110.04069010416667,65.89360328816964,1,bim,cifar10
5,127.34765625,72.38098611786012,1,bim,cifar10
6,116.13118489583333,73.4129926801661,1,bim,cifar10
5,129.99055989583334,74.14421186874841,1,bim,cifar10
8,116.78255208333333,79.97920936238121,1,bim,cifar10
9,121.17220052083333,75.74868335794645,1,bim,cifar10
9,126.61002604166667,79.37494407515113,1,bim,cifar10
6,127.26985677083333,70.517730711254,1,bim,cifar10
12,113.86751302083333,81.02982841046801,1,bim,cifar10
5,141.59700520833334,72.40316443388151,1,bim,cifar10
6,112.29036458333333,69.99135711095148,1,bim,cifar10
13,127.74641927083333,68.62993880906316,1,bim,cifar10
4,99.29947916666667,56.66451445608097,1,bim,cifar10
7,125.1484375,71.71596591281725,1,bim,cifar10
3,111.09505208333333,61.9343375917997,1,bim,cifar10
9,110.28157552083333,77.10259018909098,1,bim,cifar10
4,142.70182291666666,67.68814883451269,1,bim,cifar10
4,129.92154947916666,73.984585797936,1,bim,cifar10
10,131.82552083333334,66.84542300235643,1,bim,cifar10
8,120.1318359375,62.20921847593013,1,bim,cifar10
5,141.146484375,86.28185740520674,1,bim,cifar10
9,139.41276041666666,79.77194470205696,1,bim,cifar10
10,98.85416666666667,74.01038316920419,1,bim,cifar10
7,123.626953125,74.47613216580724,1,bim,cifar10
7,138.68359375,67.12047801373616,1,bim,cifar10
9,148.49055989583334,64.94195571103963,1,bim,cifar10
13,135.93424479166666,76.97622889596285,1,bim,cifar10
5,143.75651041666666,68.70239036814193,1,bim,cifar10
6,117.9892578125,76.71923300818982,1,bim,cifar10
2,118.40462239583333,80.31903131142865,1,bim,cifar10
2,141.4912109375,68.65032768331012,1,bim,cifar10
8,121.6943359375,68.96501430354384,1,bim,cifar10
10,151.60384114583334,55.76505126767671,1,bim,cifar10
4,136.5341796875,74.56046907039631,1,bim,cifar10
8,130.99055989583334,74.60715758466374,1,bim,cifar10
3,130.85481770833334,90.12584337852229,1,bim,cifar10
10,145.58984375,73.96026787694178,1,bim,cifar10
5,106.25846354166667,78.47992623382873,1,bim,cifar10
9,139.84016927083334,67.64410883718614,1,bim,cifar10
5,103.5439453125,81.9246712243682,1,bim,cifar10
5,130.99088541666666,71.49575835340399,1,bim,cifar10
2,123.92708333333333,68.54325070583073,1,bim,cifar10
3,122.96451822916667,90.92086518474531,1,bim,cifar10
5,145.4873046875,64.94904143919102,1,bim,cifar10
8,124.57682291666667,67.01847701739824,1,bim,cifar10
7,134.83854166666666,71.69011887889106,1,bim,cifar10
14,131.71256510416666,82.46085839622397,1,bim,cifar10
5,120.705078125,69.59046999569277,1,bim,cifar10
3,134.791015625,73.47021003417801,1,bim,cifar10
9,106.53645833333333,81.1986573312761,1,bim,cifar10
12,126.98665364583333,64.12844088528975,1,bim,cifar10
8,139.556640625,59.6322946629665,1,bim,cifar10
5,105.24544270833333,71.53358672526319,1,bim,cifar10
4,133.61751302083334,71.12236084634641,1,bim,cifar10
2,122.896484375,67.42503808614497,1,bim,cifar10
6,132.96842447916666,74.40478765879483,1,bim,cifar10
13,100.03157552083333,83.96226951904269,1,bim,cifar10
10,128.73111979166666,67.77038020219908,1,bim,cifar10
9,131.37923177083334,58.88117108546066,1,bim,cifar10
8,126.0634765625,77.19563754619121,1,bim,cifar10
8,121.40201822916667,75.32294505621817,1,bim,cifar10
10,127.24641927083333,72.67382070205502,1,bim,cifar10
5,106.82421875,66.5523247490027,1,bim,cifar10
3,130.70052083333334,72.10722159024444,1,bim,cifar10
3,122.22102864583333,78.91262610493027,1,bim,cifar10
2,133.99283854166666,74.60379516431313,1,bim,cifar10
7,134.06380208333334,66.94537816491327,1,bim,cifar10
5,148.37369791666666,71.69326057074909,1,bim,cifar10
7,130.54557291666666,69.39289140843857,1,bim,cifar10
4,113.82486979166667,72.76044922251823,1,bim,cifar10
5,133.46451822916666,69.26448623749064,1,bim,cifar10
9,136.64095052083334,71.39222172236714,1,bim,cifar10
6,134.69303385416666,81.68421354903167,1,bim,cifar10
9,127.34147135416667,66.21220385203996,1,bim,cifar10
6,126.37825520833333,87.17809029930375,1,bim,cifar10
9,135.70345052083334,72.47838456721153,1,bim,cifar10
8,143.3623046875,73.68926802522354,1,bim,cifar10
7,118.052734375,70.04960551835767,1,bim,cifar10
11,111.9619140625,70.86538668582124,1,bim,cifar10
3,118.09895833333333,75.92800219179937,1,bim,cifar10
10,134.97916666666666,75.36025102663145,1,bim,cifar10
7,126.82389322916667,69.81766038722986,1,bim,cifar10
9,129.76953125,63.436533872475856,1,bim,cifar10
6,121.1630859375,73.06596754881004,1,bim,cifar10
7,130.11295572916666,61.37105575548583,1,bim,cifar10
9,122.298828125,68.8596587437449,1,bim,cifar10
8,127.40397135416667,78.38558285391467,1,bim,cifar10
4,112.59537760416667,44.32390916026615,1,bim,cifar10
8,103.3720703125,74.6539454142108,1,bim,cifar10
6,130.74283854166666,79.79962120843042,1,bim,cifar10
4,129.11295572916666,73.75970306694126,1,bim,cifar10
4,130.59700520833334,65.27540051554347,1,bim,cifar10
9,131.63053385416666,67.96045553883235,1,bim,cifar10
15,130.82486979166666,69.99551168689328,1,bim,cifar10
8,158.81184895833334,56.89638806858432,1,bim,cifar10
8,126.6806640625,74.13074067072672,1,bim,cifar10
3,138.87532552083334,70.89459224957942,1,bim,cifar10
6,114.625,80.44747831244224,1,bim,cifar10
4,119.85384114583333,69.5820779789418,1,bim,cifar10
11,117.36360677083333,73.78388489775794,1,bim,cifar10
6,119.8271484375,71.42505375074127,1,bim,cifar10
7,115.85091145833333,69.74813252528689,1,bim,cifar10
3,138.99934895833334,74.70236707383499,1,bim,cifar10
8,125.8271484375,63.89041204920998,1,bim,cifar10
6,163.11686197916666,53.64325863591814,1,bim,cifar10
6,137.76204427083334,72.78082908625618,1,bim,cifar10
12,112.57486979166667,75.13568982431855,1,bim,cifar10
7,155.02766927083334,86.35572904527403,1,bim,cifar10
2,130.85872395833334,61.810091039747675,1,bim,cifar10
5,116.91178385416667,79.04829233911126,1,bim,cifar10
9,105.79817708333333,68.1766535864143,1,bim,cifar10
7,124.533203125,73.36918494252934,1,bim,cifar10
5,139.78678385416666,71.39124997129295,1,bim,cifar10
11,127.947265625,69.07245147246704,1,bim,cifar10
9,120.84733072916667,76.17094086573834,1,bim,cifar10
4,125.45670572916667,74.42561813156506,1,bim,cifar10
3,126.74739583333333,74.86980665098106,1,bim,cifar10
8,123.677734375,72.87773963209627,1,bim,cifar10
8,157.55891927083334,55.71500395273032,1,bim,cifar10
6,127.84895833333333,81.89928568622183,1,bim,cifar10
9,132.0556640625,69.88053837974519,1,bim,cifar10
9,124.95833333333333,67.39151945766363,1,bim,cifar10
7,152.51953125,66.20036598296929,1,bim,cifar10
5,114.32552083333333,67.27531823034177,1,bim,cifar10
7,115.26790364583333,70.47680476859892,1,bim,cifar10
12,116.099609375,78.90894568211111,1,bim,cifar10
2,123.65885416666667,69.71153602001495,1,bim,cifar10
6,124.36653645833333,57.83075189309066,1,bim,cifar10
8,113.42024739583333,70.93605877549273,1,bim,cifar10
9,115.75260416666667,64.81282078336407,1,bim,cifar10
11,122.70572916666667,63.86628841151994,1,bim,cifar10
6,119.36165364583333,77.26411549079951,1,bim,cifar10
8,110.6015625,75.32872617253902,1,bim,cifar10
10,162.517578125,63.35426138832847,1,bim,cifar10
1,129.49479166666666,73.4957285041982,1,bim,cifar10
6,123.6181640625,72.89791911735314,1,bim,cifar10
5,147.76920572916666,82.16348776748589,1,bim,cifar10
3,124.15787760416667,77.42421832345592,1,bim,cifar10
2,143.708984375,88.75206048335666,1,bim,cifar10
8,119.865234375,69.1681825670589,1,bim,cifar10
4,128.09212239583334,69.25359834254539,1,bim,cifar10
8,123.98274739583333,70.5185044838842,1,bim,cifar10
3,122.4345703125,74.37722838253573,1,bim,cifar10
4,110.89453125,67.11083700193244,1,bim,cifar10
3,120.44921875,55.95280552508092,1,bim,cifar10
11,140.50032552083334,74.0089171211592,1,bim,cifar10
3,104.15690104166667,69.44546734674088,1,bim,cifar10
3,125.68359375,82.32760373001395,1,bim,cifar10
12,111.6953125,73.85168025243061,1,bim,cifar10
6,133.4521484375,77.4568630293572,1,bim,cifar10
6,131.30826822916666,65.79427681659264,1,bim,cifar10
6,136.2431640625,64.05441942401002,1,bim,cifar10
5,131.837890625,42.96883663080404,1,bim,cifar10
9,131.2919921875,87.86879124027139,1,bim,cifar10
8,131.451171875,85.25689244630205,1,bim,cifar10
8,113.154296875,65.39363167118333,1,bim,cifar10
10,129.21321614583334,75.99906409330657,1,bim,cifar10
8,145.1630859375,73.07151320119725,1,bim,cifar10
7,134.22981770833334,65.83905025440245,1,bim,cifar10
6,135.42057291666666,66.42458287906601,1,bim,cifar10
6,129.49609375,75.05494146144382,1,bim,cifar10
8,140.53548177083334,73.30738902141978,1,bim,cifar10
2,111.86328125,69.89019038217131,1,bim,cifar10
9,130.83235677083334,68.34474124940724,1,bim,cifar10
6,123.40071614583333,60.15780509663255,1,bim,cifar10
8,134.62565104166666,66.79428547397909,1,bim,cifar10
9,124.91829427083333,70.50263899198679,1,bim,cifar10
9,138.66829427083334,68.91603344912927,1,bim,cifar10
8,139.94759114583334,80.09673364413216,1,bim,cifar10
11,136.93098958333334,76.14283809584128,1,bim,cifar10
7,118.13313802083333,74.74369937107794,1,bim,cifar10
5,126.796875,67.63114716513962,1,bim,cifar10
13,128.7998046875,73.49157944209355,1,bim,cifar10
9,122.9658203125,82.43337234197777,1,bim,cifar10
5,99.49479166666667,63.85963111997626,1,bim,cifar10
3,153.73567708333334,58.374052829859146,1,bim,cifar10
6,139.47037760416666,69.47827006084603,1,bim,cifar10
5,111.796875,62.848385083164516,1,bim,cifar10
7,123.49967447916667,81.56678297061593,1,bim,cifar10
9,145.40950520833334,55.51917202158952,1,bim,cifar10
9,132.91373697916666,81.48843176611999,1,bim,cifar10
