KP,mean,std,target,Attack,Dataset
12,132.8193359375,68.55208179942235,1,cw,cifar10
6,146.48404947916666,78.17460639076246,1,cw,cifar10
11,132.79654947916666,70.99957994984096,1,cw,cifar10
9,134.41764322916666,48.84495012226949,1,cw,cifar10
12,130.29752604166666,75.9962631242965,1,cw,cifar10
11,128.66145833333334,64.40063199220907,1,cw,cifar10
15,89.4521484375,65.8470834914517,1,cw,cifar10
7,141.90462239583334,56.58144946187068,1,cw,cifar10
13,117.03255208333333,70.48633364672718,1,cw,cifar10
14,140.84309895833334,67.8142757059387,1,cw,cifar10
11,104.8134765625,62.828921029645755,1,cw,cifar10
8,120.51985677083333,75.34351910879626,1,cw,cifar10
4,119.02376302083333,64.88792273778586,1,cw,cifar10
6,94.39453125,72.01898700956257,1,cw,cifar10
8,134.703125,77.22754718350119,1,cw,cifar10
9,126.94791666666667,75.1569153910631,1,cw,cifar10
12,128.58951822916666,73.35128542888619,1,cw,cifar10
11,145.10774739583334,65.97015829036839,1,cw,cifar10
12,146.34309895833334,80.89788871384285,1,cw,cifar10
7,127.62923177083333,64.0593123608842,1,cw,cifar10
13,127.1044921875,75.98940037209461,1,cw,cifar10
3,148.09505208333334,43.268048974297535,1,cw,cifar10
12,110.94791666666667,65.40241033180116,1,cw,cifar10
10,124.90462239583333,72.07695435320113,1,cw,cifar10
24,144.994140625,59.30982573506977,1,cw,cifar10
13,139.24055989583334,75.85104958829776,1,cw,cifar10
10,134.0146484375,70.18497653844649,1,cw,cifar10
3,112.7109375,64.93041116618123,1,cw,cifar10
12,107.98111979166667,55.02052396460375,1,cw,cifar10
7,124.83528645833333,79.98777991780334,1,cw,cifar10
15,152.58072916666666,84.57699318959996,1,cw,cifar10
12,138.87434895833334,66.48567316681776,1,cw,cifar10
10,115.71712239583333,55.47182613748176,1,cw,cifar10
4,133.43033854166666,81.47384133962885,1,cw,cifar10
13,140.162109375,74.25084383764714,1,cw,cifar10
16,137.01790364583334,60.50309591812361,1,cw,cifar10
5,130.00618489583334,66.70627392790043,1,cw,cifar10
11,88.38704427083333,54.79797233212998,1,cw,cifar10
10,152.01171875,58.45778307573436,1,cw,cifar10
3,122.462890625,69.06879493470421,1,cw,cifar10
12,134.9228515625,69.32825821994403,1,cw,cifar10
11,111.490234375,68.26119743574284,1,cw,cifar10
10,131.62825520833334,71.52547112765437,1,cw,cifar10
10,129.79361979166666,75.40283602457407,1,cw,cifar10
17,149.84440104166666,64.2993970815633,1,cw,cifar10
7,123.6748046875,67.16643313501287,1,cw,cifar10
9,134.23372395833334,75.97135017442473,1,cw,cifar10
17,120.5947265625,70.74751236985263,1,cw,cifar10
3,136.53255208333334,74.12813524706071,1,cw,cifar10
2,107.67415364583333,61.0726578461475,1,cw,cifar10
17,121.25520833333333,70.34585319667427,1,cw,cifar10
6,109.783203125,73.42164469498786,1,cw,cifar10
4,130.203125,74.38402919895755,1,cw,cifar10
12,93.5986328125,77.43615839412924,1,cw,cifar10
5,120.513671875,75.57402185037252,1,cw,cifar10
11,127.07161458333333,80.09781281765542,1,cw,cifar10
10,125.23177083333333,68.89240672366743,1,cw,cifar10
7,104.63313802083333,81.42895153097415,1,cw,cifar10
5,149.49641927083334,68.8124806534115,1,cw,cifar10
14,106.76953125,68.06952322276886,1,cw,cifar10
5,130.26334635416666,69.87977637065835,1,cw,cifar10
5,93.69759114583333,49.380101838885025,1,cw,cifar10
3,121.54427083333333,69.39114414320318,1,cw,cifar10
4,105.58756510416667,58.79771601169717,1,cw,cifar10
5,108.146484375,76.6517249749919,1,cw,cifar10
17,145.84830729166666,63.43451645584397,1,cw,cifar10
13,125.10677083333333,75.56265518119544,1,cw,cifar10
11,130.607421875,64.59904870464125,1,cw,cifar10
15,119.5751953125,59.60705833285309,1,cw,cifar10
7,157.81022135416666,92.29884724329627,1,cw,cifar10
5,143.1005859375,77.95410080050056,1,cw,cifar10
12,87.07259114583333,71.06957753157168,1,cw,cifar10
6,116.86263020833333,75.08383241515259,1,cw,cifar10
11,143.861328125,63.10298611004265,1,cw,cifar10
6,155.27408854166666,60.40838074073974,1,cw,cifar10
