KP,mean,std,target,Attack,Dataset
3,127.03580729166667,75.27658491474058,1,fgsm,cifar100
8,117.818359375,75.41778109368431,1,fgsm,cifar100
4,122.74055989583333,72.3485785984149,1,fgsm,cifar100
5,127.3134765625,72.94782677660852,1,fgsm,cifar100
7,127.84895833333333,73.70966646148953,1,fgsm,cifar100
7,123.66243489583333,67.60413591060457,1,fgsm,cifar100
3,130.490234375,73.91037833034677,1,fgsm,cifar100
7,142.42513020833334,74.52142891187245,1,fgsm,cifar100
4,126.48079427083333,74.14858500019689,1,fgsm,cifar100
10,120.8525390625,73.22998787320455,1,fgsm,cifar100
2,123.8095703125,72.39265939968503,1,fgsm,cifar100
11,131.37369791666666,70.58288943876126,1,fgsm,cifar100
4,129.97884114583334,73.52129466607677,1,fgsm,cifar100
7,129.3232421875,74.9890277566959,1,fgsm,cifar100
4,125.81087239583333,70.28661584209361,1,fgsm,cifar100
8,129.642578125,74.21329750821309,1,fgsm,cifar100
5,125.62272135416667,69.8049918471162,1,fgsm,cifar100
6,126.90397135416667,72.99366437412844,1,fgsm,cifar100
0,121.93131510416667,70.91780565879138,1,fgsm,cifar100
8,132.51302083333334,73.72382345302583,1,fgsm,cifar100
9,123.0517578125,74.28920637464223,1,fgsm,cifar100
10,124.0751953125,75.92466797449822,1,fgsm,cifar100
3,123.587890625,73.74799461398321,1,fgsm,cifar100
8,128.681640625,72.65957760516538,1,fgsm,cifar100
6,122.72395833333333,74.17328158869837,1,fgsm,cifar100
8,128.322265625,74.38347728794383,1,fgsm,cifar100
5,135.5771484375,75.52584744836473,1,fgsm,cifar100
5,129.41015625,74.59709375872434,1,fgsm,cifar100
10,122.58561197916667,70.78815978424078,1,fgsm,cifar100
7,131.94921875,75.044436397741,1,fgsm,cifar100
4,120.5771484375,76.30885871720481,1,fgsm,cifar100
4,124.47233072916667,70.98235996290983,1,fgsm,cifar100
7,128.56380208333334,73.33131343132014,1,fgsm,cifar100
7,112.72037760416667,76.52180767175531,1,fgsm,cifar100
4,120.703125,72.96199432327485,1,fgsm,cifar100
2,122.8310546875,74.61731762268879,1,fgsm,cifar100
2,127.4951171875,74.33364704388214,1,fgsm,cifar100
1,127.0322265625,75.19922366182443,1,fgsm,cifar100
5,122.14518229166667,74.0274928653861,1,fgsm,cifar100
2,126.97786458333333,74.1220141951019,1,fgsm,cifar100
4,122.4453125,73.47072477388078,1,fgsm,cifar100
4,131.88671875,74.59320303135085,1,fgsm,cifar100
6,125.25716145833333,73.68265249492892,1,fgsm,cifar100
6,128.71419270833334,72.7431293176816,1,fgsm,cifar100
3,128.63313802083334,73.06999117204963,1,fgsm,cifar100
3,131.71940104166666,72.92827632506037,1,fgsm,cifar100
3,128.74641927083334,73.69638869211826,1,fgsm,cifar100
8,126.21516927083333,72.07281334543417,1,fgsm,cifar100
4,122.72688802083333,72.87708841671683,1,fgsm,cifar100
5,137.10319010416666,76.38904986787702,1,fgsm,cifar100
4,125.455078125,75.12746502892746,1,fgsm,cifar100
2,130.3046875,75.37930761177493,1,fgsm,cifar100
3,125.36328125,74.70054143514479,1,fgsm,cifar100
6,122.1162109375,74.89963277071793,1,fgsm,cifar100
9,127.18912760416667,74.34487528368406,1,fgsm,cifar100
6,120.34830729166667,75.67999488944211,1,fgsm,cifar100
3,126.31217447916667,72.49360400722772,1,fgsm,cifar100
